2024-11-10 00:26:46,090 INFO  DataLinksLogger ModbusTCPServer: Starting=>Started   
2024-11-10 00:26:46,090 INFO  DataLinksLogger FreedomServer: Start=>Starting   
2024-11-10 00:26:46,090 INFO  DataLinksLogger FreedomServer: Starting=>Started   
2024-11-10 00:26:46,090 INFO  DataLinksLogger AlarmServer: Start=>Starting   
2024-11-10 00:26:46,090 INFO  DataLinksLogger AlarmServer: Starting=>Started   
2024-11-10 00:26:46,090 INFO  DataLinksLogger Record01: Start=>Starting   
2024-11-10 00:26:46,090 INFO  DataLinksLogger Record01: Starting=>Started   
2024-11-10 00:26:46,230 INFO  DataLinksLogger SignalServer: Server running on http://localhost:3051  
2024-11-10 00:27:17,054 INFO  DataLinksLogger Channel2: Init => Initing   
2024-11-10 00:27:17,065 INFO  DataLinksLogger Channel2: Initing => Inited   
2024-11-10 00:27:17,065 INFO  DataLinksLogger ModbusTCPServer: Init => Initing   
2024-11-10 00:27:17,260 INFO  DataLinksLogger ModbusTCPServer: Initing=>Inited  
2024-11-10 00:27:17,261 INFO  DataLinksLogger FreedomServer: Init => Initing   
2024-11-10 00:27:17,262 INFO  DataLinksLogger FreedomServer: Initing=>Inited  
2024-11-10 00:27:17,262 INFO  DataLinksLogger AlarmServer: Init => Initing   
2024-11-10 00:27:17,264 INFO  DataLinksLogger AlarmServer: Initing=>Inited  
2024-11-10 00:27:17,265 INFO  DataLinksLogger Record01: Init => Initing   
2024-11-10 00:27:17,265 INFO  DataLinksLogger Record01: Initing=>Inited  
2024-11-10 00:27:17,265 INFO  DataLinksLogger Channel2: Start => Starting   
2024-11-10 00:27:17,266 INFO  DataLinksLogger Channel2.Device1: Start=>Starting   
2024-11-10 00:27:17,267 INFO  DataLinksLogger Channel2.Device1: Starting=>Started   
2024-11-10 00:27:17,267 INFO  DataLinksLogger ModbusTCPServer: Start=>Starting   
2024-11-10 00:27:17,268 INFO  DataLinksLogger ModbusTCPServer: Starting=>Started   
2024-11-10 00:27:17,268 INFO  DataLinksLogger FreedomServer: Start=>Starting   
2024-11-10 00:27:17,268 INFO  DataLinksLogger FreedomServer: Starting=>Started   
2024-11-10 00:27:17,268 INFO  DataLinksLogger AlarmServer: Start=>Starting   
2024-11-10 00:27:17,269 INFO  DataLinksLogger AlarmServer: Starting=>Started   
2024-11-10 00:27:17,269 INFO  DataLinksLogger Record01: Start=>Starting   
2024-11-10 00:27:17,269 INFO  DataLinksLogger Record01: Starting=>Started   
2024-11-10 00:27:17,319 INFO  DataLinksLogger FreedomServer connect information,ReceiveAsync Start,ID:0 , IPAdderss:127.0.0.1:55868  
2024-11-10 00:27:17,416 INFO  DataLinksLogger SignalServer: Server running on http://localhost:3051  
2024-11-10 00:27:18,404 INFO  DataLinksLogger SignalServer: Client have Connected ,ConnectId '183e0aab-7707-4a01-90dd-728afb447be5',HubName 'Alarm'  
2024-11-10 00:28:19,494 INFO  DataLinksLogger FreedomServer Disconnect information,ID:0 , IPAdderss:127.0.0.1:55868  
2024-11-10 00:28:21,393 INFO  DataLinksLogger Channel2: Init => Initing   
2024-11-10 00:28:21,402 INFO  DataLinksLogger Channel2: Initing => Inited   
2024-11-10 00:28:21,402 INFO  DataLinksLogger ModbusTCPServer: Init => Initing   
2024-11-10 00:28:21,418 INFO  DataLinksLogger ModbusTCPServer: Initing=>Inited  
2024-11-10 00:28:21,418 INFO  DataLinksLogger FreedomServer: Init => Initing   
2024-11-10 00:28:21,419 INFO  DataLinksLogger FreedomServer: Initing=>Inited  
2024-11-10 00:28:21,419 INFO  DataLinksLogger AlarmServer: Init => Initing   
2024-11-10 00:28:21,419 INFO  DataLinksLogger AlarmServer: Initing=>Inited  
2024-11-10 00:28:21,419 INFO  DataLinksLogger Record01: Init => Initing   
2024-11-10 00:28:21,419 INFO  DataLinksLogger Record01: Initing=>Inited  
2024-11-10 00:28:21,419 INFO  DataLinksLogger Channel2: Start => Starting   
2024-11-10 00:28:21,419 INFO  DataLinksLogger Channel2.Device1: Start=>Starting   
2024-11-10 00:28:21,419 INFO  DataLinksLogger Channel2.Device1: Starting=>Started   
2024-11-10 00:28:21,419 INFO  DataLinksLogger ModbusTCPServer: Start=>Starting   
2024-11-10 00:28:21,424 INFO  DataLinksLogger ModbusTCPServer: Starting=>Started   
2024-11-10 00:28:21,424 INFO  DataLinksLogger FreedomServer: Start=>Starting   
2024-11-10 00:28:21,424 INFO  DataLinksLogger FreedomServer: Starting=>Started   
2024-11-10 00:28:21,424 INFO  DataLinksLogger AlarmServer: Start=>Starting   
2024-11-10 00:28:21,424 INFO  DataLinksLogger AlarmServer: Starting=>Started   
2024-11-10 00:28:21,424 INFO  DataLinksLogger Record01: Start=>Starting   
2024-11-10 00:28:21,424 INFO  DataLinksLogger Record01: Starting=>Started   
2024-11-10 00:28:21,561 INFO  DataLinksLogger SignalServer: Server running on http://localhost:3051  
2024-11-10 00:28:21,907 INFO  DataLinksLogger FreedomServer connect information,ReceiveAsync Start,ID:0 , IPAdderss:127.0.0.1:55934  
2024-11-10 00:28:22,362 INFO  DataLinksLogger SignalServer: Client have Connected ,ConnectId '189bbd08-d660-4f2b-88e2-68a68bf543d8',HubName 'Alarm'  
